# gamble_id, class_id, h_ret, h_prob, m_ret, m_prob, l_ret, l_prob
0, 3, 1.321597, 0.226985, 1.166360, 0.602987, 1.148230, 0.170027 
1, 9, 3.057912, 0.274781, 2.847889, 0.603968, 2.509233, 0.121251 
2, 15, 4.410078, 0.329714, 2.586511, 0.493396, 1.237326, 0.176891 
3, 1, 1.459855, 0.228562, 1.326154, 0.641084, 0.819781, 0.130354 
4, 8, 1.940707, 0.208155, 1.574983, 0.685620, 1.026763, 0.106225 
5, 7, 2.482947, 0.154288, 2.333583, 0.626891, 0.541819, 0.218820 
6, 5, 3.647435, 0.303642, 0.614946, 0.638091, 0.549938, 0.058267 
7, 2, 1.996422, 0.121240, 0.064428, 0.688257, 0.009060, 0.190504 
8, 9, 4.762815, 0.193766, 1.100550, 0.704528, 0.242836, 0.101707 
9, 6, 3.358752, 0.273808, 2.948125, 0.689339, 2.504052, 0.036853 
10, 12, 9.897964, 0.177849, 2.384922, 0.609549, 2.018547, 0.212603 
11, 5, 4.751525, 0.220988, 3.033808, 0.698065, 0.147020, 0.080947 
12, 15, 0.026328, 0.184753, 0.009343, 0.560864, 0.006267, 0.254383 
13, 14, 25.161685, 0.106585, 0.721505, 0.755210, 0.458247, 0.138205 
14, 3, 0.904743, 0.411363, 0.864185, 0.505436, 0.503429, 0.083200 
15, 10, 300.076490, 0.003348, 2.446159, 0.650963, 0.788466, 0.345689 
16, 2, 1.286305, 0.266925, 0.982015, 0.431732, 0.947275, 0.301343 
17, 1, 2.231195, 0.217367, 1.054234, 0.672512, 0.506505, 0.110122 
18, 3, 3.920238, 0.473773, 3.031368, 0.424463, 3.003354, 0.101764 
19, 6, 1.637485, 0.197871, 0.733783, 0.674432, 0.038974, 0.127697 
20, 7, 5.912484, 0.155933, 1.636656, 0.560428, 1.622186, 0.283640 
21, 4, 4.381835, 0.027279, 0.842447, 0.837911, 0.652217, 0.134810 
22, 14, 22.213917, 0.090671, 2.101082, 0.590565, 0.692005, 0.318765 
23, 13, 14.002013, 0.073297, 1.232686, 0.654200, 0.811155, 0.272504 
24, 6, 2.139195, 0.298357, 1.313528, 0.426618, 0.525044, 0.275026 
25, 10, 1.677715, 0.266987, 0.577635, 0.613645, 0.411467, 0.119369 
26, 14, 2.837085, 0.457641, 2.099013, 0.537026, 1.528209, 0.005333 
27, 4, 2.638175, 0.285094, 1.278426, 0.496139, 1.243616, 0.218767 
28, 13, 16.869220, 0.075221, 3.357694, 0.490028, 1.296706, 0.434751 
29, 2, 5.110289, 0.085904, 0.586589, 0.717364, 0.386159, 0.196732 
30, 0, 8.448894, 0.094366, 2.781940, 0.736657, 1.269896, 0.168976 
31, 8, 2.835587, 0.389336, 2.434800, 0.573565, 1.979949, 0.037099 
32, 10, 9.950907, 0.077712, 1.547512, 0.612138, 1.026081, 0.310150 
33, 10, 1.773779, 0.272701, 1.506843, 0.563547, 1.307211, 0.163752 
34, 1, 3.093004, 0.372326, 0.625213, 0.424205, 0.530883, 0.203469 
35, 12, 1.200138, 0.112790, 0.438096, 0.650071, 0.411724, 0.237139 
36, 14, 14.740979, 0.122493, 1.384848, 0.671365, 0.538641, 0.206142 
37, 15, 2.292141, 0.157324, 1.073700, 0.654296, 0.610342, 0.188380 
38, 5, 1.753831, 0.357883, 0.583009, 0.527720, 0.020970, 0.114397 
39, 8, 3.639466, 0.066341, 2.023087, 0.502081, 1.735919, 0.431578 
40, 2, 4.339000, 0.328159, 1.091267, 0.620426, 0.315104, 0.051415 
41, 9, 2.947363, 0.026880, 0.541530, 0.751681, 0.349115, 0.221439 
42, 15, 2.340251, 0.347501, 1.508220, 0.576113, 0.090574, 0.076386 
43, 1, 4.102322, 0.110639, 1.889411, 0.703935, 1.858974, 0.185426 
44, 14, 23.215577, 0.070742, 0.853878, 0.860894, 0.153741, 0.068363 
45, 7, 2.851274, 0.239995, 2.142218, 0.623922, 1.696418, 0.136083 
46, 2, 3.503863, 0.564287, 2.989124, 0.418192, 2.122432, 0.017521 
47, 0, 3.899253, 0.282421, 0.986400, 0.680968, 0.805285, 0.036611 
48, 14, 4.864494, 0.158905, 3.239091, 0.658186, 0.633278, 0.182909 
49, 11, 1.700477, 0.215783, 1.615861, 0.471623, 1.437587, 0.312594 
50, 13, 1.367011, 0.435359, 0.423262, 0.536342, 0.341308, 0.028299 
51, 12, 6.323632, 0.200651, 1.781185, 0.613937, 0.887680, 0.185411 
52, 15, 6.076023, 0.317102, 1.560213, 0.624163, 1.424595, 0.058735 
53, 9, 3.344768, 0.189513, 1.657632, 0.649329, 1.563282, 0.161158 
54, 1, 4.416164, 0.095559, 1.473288, 0.627797, 1.190410, 0.276644 
55, 6, 2.583592, 0.039714, 1.142391, 0.698956, 0.862391, 0.261330 
56, 5, 0.910596, 0.271088, 0.128410, 0.495882, 0.036061, 0.233030 
57, 15, 0.271797, 0.094288, 0.246066, 0.623976, 0.220293, 0.281736 
58, 2, 7.580637, 0.033870, 1.336073, 0.789750, 0.821174, 0.176380 
59, 14, 6.204456, 0.181755, 1.273969, 0.402979, 1.241270, 0.415266 
60, 3, 3.620959, 0.339266, 3.520406, 0.433813, 2.995483, 0.226921 
61, 10, 4.102636, 0.261034, 2.820623, 0.510020, 1.815715, 0.228946 
62, 14, 15.971730, 0.009388, 0.338427, 0.695828, 0.169626, 0.294784 
63, 6, 0.896226, 0.185829, 0.869522, 0.576844, 0.796760, 0.237327 
64, 12, 1.215739, 0.239899, 0.891577, 0.430183, 0.190979, 0.329918 
65, 3, 1.778792, 0.257474, 0.051508, 0.564046, 0.003744, 0.178480 
66, 1, 3.046648, 0.252410, 2.812796, 0.532073, 1.873482, 0.215517 
67, 11, 4.178910, 0.040880, 3.407989, 0.810557, 2.171588, 0.148563 
68, 15, 0.991750, 0.076972, 0.859031, 0.635115, 0.852790, 0.287912 
69, 1, 6.049599, 0.071970, 1.528376, 0.619255, 1.433154, 0.308776 
70, 8, 5.298931, 0.205909, 4.967162, 0.404487, 1.283845, 0.389605 
71, 9, 2.132709, 0.412936, 1.920242, 0.551062, 1.781880, 0.036001 
72, 14, 5.360976, 0.220291, 2.423365, 0.767317, 2.361374, 0.012393 
73, 7, 9.736392, 0.136633, 1.954563, 0.836258, 1.795124, 0.027109 
74, 4, 8.338031, 0.047515, 2.363291, 0.654041, 1.509833, 0.298444 
75, 1, 0.096055, 0.235303, 0.093543, 0.497655, 0.078700, 0.267043 
76, 12, 12.677441, 0.196083, 0.700854, 0.655257, 0.584851, 0.148660 
77, 14, 9.173907, 0.212635, 1.929573, 0.533911, 0.194712, 0.253454 
78, 6, 5.944700, 0.141132, 0.914059, 0.549499, 0.123991, 0.309369 
79, 14, 2.739986, 0.247864, 1.858599, 0.652308, 1.505380, 0.099828 
80, 14, 5.396099, 0.230020, 3.381426, 0.602185, 0.991898, 0.167795 
81, 14, 5.986550, 0.280750, 2.681628, 0.631583, 2.414931, 0.087668 
82, 1, 4.154677, 0.267246, 3.440820, 0.431786, 3.201163, 0.300967 
83, 2, 2.965853, 0.053654, 0.781138, 0.497063, 0.675135, 0.449283 
84, 15, 5.121347, 0.153686, 1.169893, 0.550729, 0.408079, 0.295586 
85, 9, 3.105399, 0.253813, 0.517031, 0.725950, 0.033927, 0.020237 
86, 12, 3.097335, 0.167197, 3.093061, 0.693682, 3.065183, 0.139121 
87, 14, 3.736057, 0.166105, 0.435265, 0.672906, 0.240039, 0.160989 
88, 7, 2.812941, 0.210970, 1.800448, 0.720458, 1.591621, 0.068571 
89, 1, 40.832181, 0.028077, 2.291115, 0.712015, 1.241000, 0.259908 
90, 10, 1.785948, 0.230330, 0.305552, 0.627589, 0.157815, 0.142081 
91, 3, 28.016578, 0.121087, 0.194816, 0.711100, 0.180669, 0.167812 
92, 15, 8.211515, 0.216868, 1.707966, 0.603268, 0.117203, 0.179864 
93, 2, 10.000058, 0.165515, 1.445406, 0.606582, 1.360190, 0.227903 
94, 4, 5.176320, 0.371341, 2.801161, 0.450230, 2.534160, 0.178429 
95, 0, 0.753627, 0.051873, 0.241638, 0.669207, 0.238753, 0.278920 
96, 9, 6.390391, 0.272547, 2.535633, 0.605402, 2.392177, 0.122051 
97, 13, 124.161593, 0.014234, 1.333408, 0.716656, 0.473283, 0.269109 
98, 3, 0.897010, 0.273960, 0.624840, 0.715004, 0.318391, 0.011036 
99, 14, 9.384862, 0.211387, 1.933175, 0.649212, 0.703715, 0.139401 
100, 11, 1.610266, 0.055583, 1.482690, 0.549909, 1.474581, 0.394508 
101, 11, 2.017961, 0.125856, 0.855135, 0.639766, 0.829015, 0.234377 
102, 5, 5.681349, 0.131300, 2.248304, 0.730541, 0.573947, 0.138159 
103, 7, 1.876049, 0.305939, 1.310958, 0.507247, 0.952968, 0.186814 
104, 8, 7.007359, 0.031788, 2.598321, 0.651436, 1.027809, 0.316776 
105, 11, 5.930117, 0.068464, 3.368079, 0.482872, 3.125223, 0.448664 
106, 12, 3.270901, 0.278460, 2.180266, 0.487869, 1.887733, 0.233672 
107, 4, 12.955679, 0.044460, 2.953467, 0.768095, 0.097982, 0.187445 
108, 5, 3.667442, 0.336719, 1.418120, 0.504093, 1.395736, 0.159188 
109, 2, 3.857218, 0.324467, 2.902735, 0.483416, 2.802334, 0.192117 
110, 10, 0.573578, 0.158117, 0.441500, 0.693232, 0.436727, 0.148650 
111, 2, 7.530259, 0.064889, 3.565504, 0.548185, 1.944643, 0.386926 
112, 6, 9.729741, 0.253513, 0.970650, 0.429144, 0.264876, 0.317344 
113, 5, 2.257032, 0.143349, 0.727623, 0.809902, 0.656848, 0.046748 
114, 1, 6.008553, 0.067956, 3.622037, 0.672463, 2.247386, 0.259581 
115, 15, 6.880147, 0.216640, 1.533961, 0.546789, 0.923601, 0.236571 
116, 7, 4.900153, 0.330703, 0.861113, 0.668617, 0.663443, 0.000680 
117, 2, 4.833899, 0.075398, 4.191710, 0.631623, 1.701075, 0.292979 
118, 14, 0.206187, 0.200910, 0.098507, 0.780052, 0.042325, 0.019038 
119, 5, 3.375401, 0.231810, 2.880523, 0.553383, 1.926002, 0.214807 
120, 4, 7.484996, 0.151420, 1.253771, 0.826441, 1.079989, 0.022138 
121, 3, 0.888631, 0.296543, 0.609793, 0.536077, 0.544730, 0.167380 
122, 8, 7.861057, 0.140861, 0.791164, 0.646590, 0.546931, 0.212549 
123, 5, 9.829165, 0.214849, 0.890637, 0.595249, 0.588089, 0.189902 
124, 0, 3.912724, 0.203192, 1.983225, 0.601503, 1.455108, 0.195306 
125, 9, 3.208589, 0.293141, 0.401986, 0.584077, 0.226150, 0.122782 
126, 10, 3.588130, 0.301977, 1.962040, 0.655827, 0.807789, 0.042195 
127, 13, 20.692790, 0.038236, 1.410163, 0.575547, 1.131631, 0.386217 
128, 10, 1.214466, 0.200321, 0.793799, 0.491030, 0.733486, 0.308649 
129, 3, 4.837185, 0.335072, 2.932271, 0.416396, 2.853269, 0.248532 
130, 6, 2.304029, 0.220774, 0.997499, 0.684890, 0.555318, 0.094336 
131, 15, 0.093108, 0.088503, 0.058030, 0.671811, 0.054077, 0.239686 
132, 15, 3.740569, 0.274608, 3.593639, 0.671486, 3.573952, 0.053905 
133, 15, 2.030095, 0.243910, 1.557960, 0.548347, 1.190230, 0.207743 
134, 10, 1.959846, 0.480745, 1.789205, 0.443709, 0.532484, 0.075545 
135, 7, 4.390089, 0.262771, 2.758152, 0.733511, 0.992139, 0.003717 
